ticker,date,quarter,sector,lmd_pos_count,lmd_neg_count,lmd_total_words,lmd_pos_pct,lmd_neg_pct,lmd_net_score,lmd_top_pos,lmd_top_neg,vader_compound,vader_pos,vader_neg,vader_neu,prep_lmd_net_score,prep_lmd_pos_pct,prep_lmd_neg_pct,fiscal_year,return_1d,return_3d,return_5d,beat_miss
AAPL,2022-01-28,Q1,Technology,156,80,8413,0.018543,0.009509,0.009034,"good, strong, great, better, despite","question, questions, challenging, harsh, shortages",0.992606,0.146118,0.018412,0.835529,0.009034,0.018543,0.009509,2022,0.026126,0.032349,0.013384,Beat
AAPL,2022-04-29,Q2,Technology,144,97,8505,0.016931,0.011405,0.005526,"good, strong, great, better, opportunity","question, disruptions, questions, shortages, difficult",0.982088,0.124647,0.025471,0.850059,0.005526,0.016931,0.011405,2022,0.001966,0.053092,-0.000882,Beat
AAPL,2022-07-28,Q3,Technology,130,92,8190,0.015873,0.011233,0.00464,"strong, good, great, innovation, despite","question, negative, questions, challenging, harsh",0.971344,0.123438,0.039312,0.837188,0.00464,0.015873,0.011233,2022,0.032793,0.016905,0.053766,Beat
AAPL,2022-10-27,Q4,Technology,177,83,8229,0.021509,0.010086,0.011423,"strong, great, good, despite, incredible","question, negative, questions, harsh, difficult",0.922135,0.133294,0.033294,0.833353,0.011423,0.021509,0.010086,2022,0.075552,0.0404,-0.040884,Beat
MSFT,2023-10-24,Q1,Technology,132,44,7555,0.017472,0.005824,0.011648,"good, better, improvement, strong, gains","question, declined, negative, decline, closing",0.932975,0.137188,0.0185,0.84425,0.0,0.0,0.0,2024,0.030678,-0.002178,0.022933,Beat
MSFT,2024-01-31,Q2,Technology,128,53,9330,0.013719,0.005681,0.008039,"improvement, great, strong, able, good","question, negative, decline, weaker, losses",0.986768,0.134053,0.017,0.848842,0.008039,0.013719,0.005681,2024,0.015594,0.020298,0.041426,Beat
MSFT,2024-04-25,Q3,Technology,145,67,9235,0.015701,0.007255,0.008446,"better, good, opportunity, great, able","question, negative, decline, losses, closing",0.9828,0.140789,0.015,0.844158,0.0,0.0,0.0,2024,0.018244,-0.024333,-0.003007,Beat
MSFT,2024-07-30,Q4,Technology,98,53,8897,0.011015,0.005957,0.005058,"good, better, great, opportunity, best","question, decline, negative, losses, volatility",0.990283,0.132333,0.017222,0.850333,0.0,0.0,0.0,2024,-0.010806,-0.03412,-0.055117,Miss
NVDA,2024-05-29,Q1,Technology,137,45,8499,0.01612,0.005295,0.010825,"good, strong, better, great, able","question, questions, problem, decline, challenges",0.9858,0.116353,0.015706,0.868,0.016949,0.016949,0.0,2025,-0.037666,0.001524,0.066318,Miss
NVDA,2024-08-28,Q2,Technology,87,45,8999,0.009668,0.005001,0.004667,"strong, good, best, great, incredible","question, questions, challenge, losses, slowing",0.977567,0.094167,0.011611,0.894056,0.016949,0.016949,0.0,2025,-0.063848,-0.140196,-0.146485,Miss
NVDA,2024-11-20,Q3,Technology,111,56,8493,0.01307,0.006594,0.006476,"strong, great, incredible, good, better","question, questions, closing, cut, staggering",0.977359,0.102176,0.02,0.877824,0.016949,0.016949,0.0,2025,0.005347,-0.067654,-0.072315,Beat
NVDA,2025-02-26,Q4,Technology,106,48,7905,0.013409,0.006072,0.007337,"great, good, strong, improve, incredibly","question, confine, cut, against, obsolescence",0.977475,0.096812,0.017875,0.885375,0.016949,0.016949,0.0,2025,-0.084781,-0.13117,-0.10649,Miss
JPM,2024-04-12,Q1,Finance,107,117,10880,0.009835,0.010754,-0.000919,"good, strong, opportunities, better, great","question, questions, recession, losses, wrong",0.970182,0.134136,0.033091,0.832682,-0.000919,0.009835,0.010754,2024,0.000547,-0.014826,0.016467,Beat
JPM,2024-07-12,Q2,Finance,100,86,9831,0.010172,0.008748,0.001424,"good, great, strong, gain, happy","question, questions, stress, weak, losses",0.971645,0.12035,0.02295,0.8568,0.001424,0.010172,0.008748,2024,0.024934,0.058212,0.023617,Beat
JPM,2024-10-11,Q3,Finance,92,120,11288,0.00815,0.010631,-0.002481,"good, strong, best, opportunities, better","question, against, questions, wrong, late",0.990886,0.126364,0.027455,0.846455,-0.002481,0.00815,0.010631,2024,-0.003644,0.006073,0.013856,Miss
JPM,2025-01-15,Q4,Finance,106,90,8725,0.012149,0.010315,0.001834,"good, great, opportunities, efficiency, strong","question, losses, questions, unemployment, loss",0.951756,0.135,0.025444,0.839389,0.001834,0.012149,0.010315,2024,0.007609,0.042322,0.053894,Beat
