ticker,date,quarter,fiscal_year,sector,return_1d,return_3d,return_5d,beat_miss
AAPL,2022-01-28,Q1,2022,Technology,0.026126,0.032349,0.013384,Beat
AAPL,2022-04-29,Q2,2022,Technology,0.001966,0.053092,-0.000882,Beat
AAPL,2022-07-28,Q3,2022,Technology,0.032793,0.016905,0.053766,Beat
AAPL,2022-10-27,Q4,2022,Technology,0.075552,0.0404,-0.040884,Beat
MSFT,2023-10-24,Q1,2024,Technology,0.030678,-0.002178,0.022933,Beat
MSFT,2024-01-31,Q2,2024,Technology,0.015594,0.020298,0.041426,Beat
MSFT,2024-04-25,Q3,2024,Technology,0.018244,-0.024333,-0.003007,Beat
MSFT,2024-07-30,Q4,2024,Technology,-0.010806,-0.03412,-0.055117,Miss
NVDA,2024-05-29,Q1,2025,Technology,-0.037666,0.001524,0.066318,Miss
NVDA,2024-08-28,Q2,2025,Technology,-0.063848,-0.140196,-0.146485,Miss
NVDA,2024-11-20,Q3,2025,Technology,0.005347,-0.067654,-0.072315,Beat
NVDA,2025-02-26,Q4,2025,Technology,-0.084781,-0.13117,-0.10649,Miss
JPM,2024-04-12,Q1,2024,Finance,0.000547,-0.014826,0.016467,Beat
JPM,2024-07-12,Q2,2024,Finance,0.024934,0.058212,0.023617,Beat
JPM,2024-10-11,Q3,2024,Finance,-0.003644,0.006073,0.013856,Miss
JPM,2025-01-15,Q4,2024,Finance,0.007609,0.042322,0.053894,Beat
